fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-19 21:29,1492031,Barracas Central vs Belgrano Cordoba,"('Liga Profesional', False)",Corners Barracas Central O/U 3.5,Over/Si,1.73,0.6898,0.5362,0.1536,0.1934,v3.2-fil,Corners,Local,L,,,,,,
2026-04-19 21:29,1492032,Central Cordoba de Santiago vs Platense,"('Liga Profesional', False)",Tarjetas tot. O/U 6.5,Under/No,1.62,0.7048,0.5759,0.1289,0.1418,v3.2-fil,Tarjetas,Total,W,,,,,,
2026-04-19 21:29,1492032,Central Cordoba de Santiago vs Platense,"('Liga Profesional', False)",Tarjetas tot. O/U 5.5,Under/No,2.2,0.5506,0.4241,0.1266,0.2114,v3.2-fil,Tarjetas,Total,L,,,,,,
2026-04-19 21:29,1492039,San Lorenzo vs Velez Sarsfield,"('Liga Profesional', False)",Tarjetas tot. O/U 6.5,Under/No,1.73,0.7229,0.5362,0.1867,0.2506,v3.2-fil,Tarjetas,Total,W,1.67,+3.59,2026-04-20 20:54,,,exact
2026-04-19 21:29,1492039,San Lorenzo vs Velez Sarsfield,"('Liga Profesional', False)",Corners tot. O/U 7.5,Over/Si,1.61,0.6581,0.5501,0.108,0.0629,v3.2-fil,Corners,Total,L,1.61,-0.31,2026-04-20 20:54,,,exact
2026-04-19 21:29,1492039,San Lorenzo vs Velez Sarsfield,"('Liga Profesional', False)",Tarjetas tot. O/U 5.5,Under/No,2.02,0.5698,0.4938,0.0759,0.1538,v3.2-fil,Tarjetas,Total,W,1.95,+3.59,2026-04-20 20:54,,,exact
2026-04-19 21:29,1492041,Tigre vs Huracan,"('Liga Profesional', False)",Corners Tigre O/U 4.5,Over/Si,2.0,0.5827,0.4638,0.1189,0.1653,v3.2-fil,Corners,Local,L,2.00,+0.00,2026-04-20 20:54,,,exact
2026-04-19 21:29,1492041,Tigre vs Huracan,"('Liga Profesional', False)",Tarjetas tot. O/U 6.5,Under/No,1.73,0.6142,0.5362,0.078,0.0626,v3.2-fil,Tarjetas,Total,W,1.73,+0.00,2026-04-20 20:54,,,exact
2026-04-19 21:29,1492034,Gimnasia M. vs Lanus,"('Liga Profesional', False)",Tarjetas tot. O/U 5.5,Under/No,1.8,0.6843,0.5263,0.158,0.2318,v3.2-fil,Tarjetas,Total,W,1.80,+0.00,2026-04-20 20:54,,,exact
2026-04-19 21:29,1391139,Athletic Club vs Osasuna,"('La Liga', False)",Goles Osasuna O/U 0.5,Over/Si,1.57,0.7524,0.589,0.1634,0.1813,v3.2-fil,Goles,Visitante,L,1.50,+4.67,2026-04-21 16:31,,,exact
2026-04-19 21:30,1391144,Mallorca vs Valencia,"('La Liga', False)",Corners Valencia O/U 4.5,Over/Si,1.91,0.7065,0.4852,0.2213,0.3495,v3.2-fil,Corners,Visitante,L,1.91,+0.00,2026-04-21 16:31,,,exact
2026-04-19 21:30,1391146,Real Madrid vs Alaves,"('La Liga', False)",Goles Alaves O/U 0.5,Over/Si,1.67,0.7531,0.557,0.1961,0.2577,v3.2-fil,Goles,Visitante,W,1.80,-7.22,2026-04-21 19:14,,,exact
2026-04-19 21:30,1391146,Real Madrid vs Alaves,"('La Liga', False)",BTTS,Over/Si,1.8,0.7073,0.52,0.1873,0.2732,v3.2-fil,BTTS,Total,W,1.91,-5.76,2026-04-21 19:14,,,exact
2026-04-19 21:30,1391146,Real Madrid vs Alaves,"('La Liga', False)",Goles tot. O/U 3.5,Over/Si,2.2,0.6021,0.4315,0.1706,0.3247,v3.2-fil,Goles,Total,L,2.10,+4.76,2026-04-21 19:14,,,exact
2026-04-19 21:30,1391146,Real Madrid vs Alaves,"('La Liga', False)",Goles tot. O/U 2.5,Over/Si,1.5,0.787,0.6359,0.1511,0.1805,v3.2-fil,Goles,Total,W,1.40,+7.14,2026-04-21 19:14,,,exact
2026-04-19 21:30,1391146,Real Madrid vs Alaves,"('La Liga', False)",Corners Alaves O/U 2.5,Over/Si,1.62,0.6821,0.5759,0.1061,0.1049,v3.2-fil,Corners,Visitante,W,1.62,+0.00,2026-04-21 19:14,,,exact
2026-04-19 21:30,1379292,Crystal Palace vs West Ham,"('Premier League', False)",Tarjetas tot. O/U 4.5,Under/No,1.85,0.5939,0.5132,0.0807,0.0986,v3.2-fil,Tarjetas,Total,W,,,,,,
2026-04-19 21:30,1379301,Brighton vs Chelsea,"('Premier League', False)",Corners Chelsea O/U 4.5,Over/Si,1.8,0.6762,0.5148,0.1614,0.2171,v3.2-fil,Corners,Visitante,W,1.80,+0.00,2026-04-21 18:44,,,exact
2026-04-19 21:30,1378187,Lecce vs Fiorentina,"('Serie A', False)",Tarjetas tot. O/U 4.5,Under/No,1.83,0.6766,0.5,0.1766,0.2383,v3.2-fil,Tarjetas,Total,L,,,,,,
2026-04-20 02:11,1492039,San Lorenzo vs Velez Sarsfield,"('Liga Profesional', False)",Goles San Lorenzo O/U 0.5,Over/Si,1.62,0.7296,0.5759,0.1537,0.1819,v3.2-fil,Goles,Local,L,1.62,+0.00,2026-04-20 20:54,,,exact
2026-04-20 02:11,1492034,Gimnasia M. vs Lanus,"('Liga Profesional', False)",Goles Gimnasia M. O/U 0.5,Over/Si,1.62,0.7415,0.5759,0.1656,0.2012,v3.2-fil,Goles,Local,W,1.62,+0.00,2026-04-20 20:54,,,exact
2026-04-20 02:11,1391144,Mallorca vs Valencia,"('La Liga', False)",Goles Mallorca O/U 1.5,Over/Si,2.50,0.6086,0.3750,0.2336,0.5214,v3.2-fil,Goles,Local,L,2.50,+0.00,2026-04-21 16:31,,,exact
2026-04-20 02:11,1391144,Mallorca vs Valencia,"('La Liga', False)",Goles Mallorca O/U 0.5,Over/Si,1.33,0.8710,0.7096,0.1614,0.1585,v3.2-fil,Goles,Local,W,1.30,+2.31,2026-04-21 16:31,,,exact
2026-04-20 02:11,1391146,Real Madrid vs Alaves,"('La Liga', False)",Goles Real Madrid O/U 2.5,Over/Si,2.00,0.6608,0.4638,0.1970,0.3216,v3.2-fil,Goles,Local,L,1.83,+9.29,2026-04-21 19:14,,,exact
